更新时间: 2026-06-01 04:15:15（北京时间）

更新时间,#genre#
2026-06-01 04:15:15,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

江西卫视,http://183.220.107.138:4022/rtp/239.11.0.42:5140$四川移动
江西卫视,http://60.223.72.54:8002/rtp/226.0.2.54:8344$山西联通
江西卫视,http://60.223.72.54:8002/rtp/226.0.2.198:9496$山西联通
四川卫视,http://183.220.107.138:4022/rtp/239.11.0.78:5140$四川移动
四川卫视,http://60.223.72.54:8002/rtp/226.0.2.179:9344$山西联通
重庆卫视,http://183.220.107.138:4022/rtp/239.11.0.116:5140$四川移动
重庆卫视,http://60.223.72.54:8002/rtp/226.0.2.174:9304$山西联通
贵州卫视,http://183.220.107.138:4022/rtp/239.11.0.51:5140$四川移动
贵州卫视,http://60.223.72.54:8002/rtp/226.0.2.180:9352$山西联通
云南卫视,http://183.220.107.138:4022/rtp/239.11.0.52:5140$四川移动
天津卫视,http://183.220.107.138:4022/rtp/239.11.0.123:5140$四川移动
天津卫视,http://183.220.107.138:4022/rtp/239.11.0.192:5140$四川移动
天津卫视,http://60.223.72.54:8002/rtp/226.0.2.148:9096$山西联通
安徽卫视,http://183.220.107.138:4022/rtp/239.11.0.117:5140$四川移动
安徽卫视,http://60.223.72.54:8002/rtp/226.0.2.145:9072$山西联通
山东卫视,http://183.220.107.138:4022/rtp/239.11.0.73:5140$四川移动
山东卫视,http://60.223.72.54:8002/rtp/226.0.2.149:9104$山西联通
辽宁卫视,http://183.220.107.138:4022/rtp/239.11.0.118:5140$四川移动
辽宁卫视,http://60.223.72.54:8002/rtp/226.0.2.173:9296$山西联通
黑龙江卫视,http://183.220.107.138:4022/rtp/239.11.0.36:5140$四川移动
黑龙江卫视,http://60.223.72.54:8002/rtp/226.0.2.151:9120$山西联通
吉林卫视,http://183.220.107.138:4022/rtp/239.11.0.35:5140$四川移动
吉林卫视,http://60.223.72.54:8002/rtp/226.0.2.58:8376$山西联通
吉林卫视,http://60.223.72.54:8002/rtp/226.0.2.199:9504$山西联通
内蒙古卫视,http://183.220.107.138:4022/rtp/239.11.0.33:5140$四川移动
宁夏卫视,http://183.220.107.138:4022/rtp/239.11.0.57:5140$四川移动
宁夏卫视,http://60.223.72.54:8002/rtp/226.0.2.64:8424$山西联通
山西卫视,http://183.220.107.138:4022/rtp/239.11.0.32:5140$四川移动
山西卫视,http://60.223.72.54:8002/rtp/226.0.2.11:8000$山西联通
山西卫视,http://60.223.72.54:8002/rtp/226.0.2.152:9128$山西联通
陕西卫视,http://183.220.107.138:4022/rtp/239.11.0.54:5140$四川移动
甘肃卫视,http://183.220.107.138:4022/rtp/239.11.0.55:5140$四川移动
甘肃卫视,http://60.223.72.54:8002/rtp/226.0.2.55:8352$山西联通
青海卫视,http://183.220.107.138:4022/rtp/239.11.0.56:5140$四川移动
新疆卫视,http://183.220.107.138:4022/rtp/239.11.0.58:5140$四川移动
新疆卫视,http://60.223.72.54:8002/rtp/226.0.2.67:8448$山西联通
西藏卫视,http://183.220.107.138:4022/rtp/239.11.0.53:5140$四川移动
西藏卫视,http://60.223.72.54:8002/rtp/226.0.2.66:8440$山西联通
三沙卫视,http://183.220.107.138:4022/rtp/239.10.0.116:5140$四川移动
兵团卫视,http://183.220.107.138:4022/rtp/239.11.0.204:5140$四川移动
兵团卫视,http://60.223.72.54:8002/rtp/226.0.2.62:8408$山西联通
延边卫视,http://183.220.107.138:4022/rtp/239.11.0.206:5140$四川移动
康巴卫视,http://183.220.107.138:4022/rtp/239.11.0.10:5140$四川移动
山东教育卫视,http://183.220.107.138:4022/rtp/239.11.0.140:5140$四川移动
山东教育卫视,http://60.223.72.54:8002/rtp/226.0.2.130:8952$山西联通
中国教育1台,http://183.220.107.138:4022/rtp/239.11.0.139:5140$四川移动
中国教育1台,http://60.223.72.54:8002/rtp/226.0.2.181:9360$山西联通
早期教育,http://60.223.72.54:8002/rtp/226.0.2.99:8704$山西联通

4K频道,#genre#
CCTV4K,http://183.220.107.138:4022/rtp/239.10.0.108:5140$四川移动
北京卫视4K,http://60.223.72.54:8002/rtp/226.0.2.155:9172$山西联通
东方卫视4K,http://60.223.72.54:8002/rtp/226.0.1.248:2121$山西联通
广东卫视4K,http://60.223.72.54:8002/rtp/226.0.1.245:2120$山西联通
深圳卫视4K,http://60.223.72.54:8002/rtp/226.0.1.244:2119$山西联通
湖南卫视4K,http://60.223.72.54:8002/rtp/226.0.1.246:2125$山西联通
山东卫视4K,http://60.223.72.54:8002/rtp/226.0.1.251:2124$山西联通
四川卫视4K,http://60.223.72.54:8002/rtp/226.0.1.250:2126$山西联通
浙江卫视4K,http://60.223.72.54:8002/rtp/226.0.1.247:2123$山西联通
江苏卫视4K,http://60.223.72.54:8002/rtp/226.0.1.249:2122$山西联通
爱上4K,http://183.220.107.138:4022/rtp/239.11.0.120:5140$四川移动

数字频道,#genre#
CHC动作电影,http://60.223.72.54:8002/rtp/226.0.2.94:8012$山西联通
CHC家庭影院,http://60.223.72.54:8002/rtp/226.0.2.240:9820$山西联通
CHC影迷电影,http://60.223.72.54:8002/rtp/226.0.2.93:8004$山西联通
求索纪录,http://183.220.107.138:4022/rtp/239.10.0.221:5140$四川移动
纪实人文,http://183.220.107.138:4022/rtp/239.10.0.192:5140$四川移动
金鹰纪实,http://183.220.107.138:4022/rtp/239.10.0.193:5140$四川移动
金鹰纪实,http://60.223.72.54:8002/rtp/226.0.2.194:9464$山西联通
纪实科教,http://60.223.72.54:8002/rtp/226.0.2.141:9040$山西联通
快乐垂钓,http://60.223.72.54:8002/rtp/226.0.2.214:9624$山西联通
茶频道,http://60.223.72.54:8002/rtp/226.0.2.213:9616$山西联通
先锋乒羽,http://60.223.72.54:8002/rtp/226.0.2.121:8880$山西联通
汽摩,http://60.223.72.54:8002/rtp/226.0.2.95:8672$山西联通
梨园频道,http://60.223.72.54:8002/rtp/226.0.2.115:8832$山西联通
文物宝库,http://60.223.72.54:8002/rtp/226.0.2.110:8792$山西联通
武术世界,http://60.223.72.54:8002/rtp/226.0.2.97:8688$山西联通
